time,signal
9.18504E-09,0.127161816
9.19504E-09,0.126708478
9.20504E-09,0.126256749
9.21504E-09,0.12580663
9.22504E-09,0.12535812
9.23504E-09,0.124911211
9.24504E-09,0.12446589
9.25504E-09,0.124022156
9.26504E-09,0.123580009
9.27504E-09,0.123139434
9.28504E-09,0.12270043
9.29504E-09,0.122262992
9.30504E-09,0.121827111
9.31504E-09,0.121392787
9.32504E-09,0.120960012
9.33504E-09,0.12052878
9.34504E-09,0.120099083
9.35504E-09,0.11967092
9.36504E-09,0.119244285
9.37504E-09,0.118819162
9.38504E-09,0.118395567
9.39504E-09,0.117973477
9.40504E-09,0.117552891
9.41504E-09,0.117133804
9.42504E-09,0.116716206
9.43504E-09,0.116300106
9.44504E-09,0.115885481
9.45504E-09,0.115472339
9.46504E-09,0.115060672
9.47504E-09,0.114650473
9.48505E-09,0.114241734
9.49505E-09,0.113834448
9.50505E-09,0.113428622
9.51505E-09,0.113024235
9.52505E-09,0.112621292
9.53505E-09,0.112219788
9.54505E-09,0.111819714
9.55505E-09,0.111421071
9.56505E-09,0.111023843
9.57505E-09,0.110628031
9.58505E-09,0.110233635
9.59505E-09,0.109840639
9.60505E-09,0.109449051
9.61505E-09,0.109058857
9.62505E-09,0.108670048
9.63505E-09,0.108282633
9.64505E-09,0.107896596
9.65505E-09,0.10751193
9.66505E-09,0.107128642
9.67505E-09,0.106746718
9.68505E-09,0.106366158
9.69505E-09,0.105986953
9.70505E-09,0.105609104
9.71505E-09,0.105232596
9.72505E-09,0.10485743
9.73505E-09,0.104483604
9.74505E-09,0.104111113
9.75505E-09,0.103739947
9.76505E-09,0.103370108
9.77505E-09,0.10300158
9.78505E-09,0.10263437
9.79505E-09,0.102268472
9.80505E-09,0.101903871
9.81505E-09,0.10154058
9.82505E-09,0.101178579
9.83505E-09,0.100817867
9.84505E-09,0.100458443
9.85505E-09,0.100100301
9.86505E-09,0.099743433
9.87505E-09,0.099387839
9.88505E-09,0.099033512
9.89505E-09,0.098680444
9.90505E-09,0.098328643
9.91505E-09,0.097978093
9.92505E-09,0.097628795
9.93505E-09,0.097280733
9.94505E-09,0.096933924
9.95505E-09,0.096588343
9.96505E-09,0.096244
9.97505E-09,0.095900878
9.98505E-09,0.095558986
9.99505E-09,0.095218308
1.0005E-08,0.094878845
1.0015E-08,0.094540596
1.0025E-08,0.094203547
1.0035E-08,0.093867704
1.0045E-08,0.093533054
1.0055E-08,0.093199603
1.0065E-08,0.092867337
1.0075E-08,0.092536256
1.0085E-08,0.092206359
1.0095E-08,0.091877632
1.0105E-08,0.091550082
1.0115E-08,0.091223702
1.0125E-08,0.090898477
1.01351E-08,0.090574414
1.01451E-08,0.090251513
1.01551E-08,0.08992976
1.01651E-08,0.089609146
1.01751E-08,0.08928968
1.01851E-08,0.088971362
1.01951E-08,0.088654168
1.02051E-08,0.088338107
1.02151E-08,0.088023171
1.02251E-08,0.08770936
1.02351E-08,0.087396674
1.02451E-08,0.087085098
1.02551E-08,0.086774625
1.02651E-08,0.086465269
1.02751E-08,0.086157009
1.02851E-08,0.085849859
1.02951E-08,0.085543796
1.03051E-08,0.085238822
1.03151E-08,0.084934935
1.03251E-08,0.084632136
1.03351E-08,0.084330417
1.03451E-08,0.084029771
1.03551E-08,0.083730198
1.03651E-08,0.083431691
1.03751E-08,0.083134249
1.03851E-08,0.082837865
1.03951E-08,0.082542546
1.04051E-08,0.082248271
1.04151E-08,0.081955053
1.04251E-08,0.081662871
1.04351E-08,0.08137174
1.04451E-08,0.081081644
1.04551E-08,0.080792576
1.04651E-08,0.080504544
1.04751E-08,0.08021754
1.04851E-08,0.079931557
1.04951E-08,0.079646595
1.05051E-08,0.079362646
1.05151E-08,0.07907971
1.05251E-08,0.078797787
1.05351E-08,0.078516863
1.05451E-08,0.078236945
1.05551E-08,0.077958018
1.05651E-08,0.077680096
1.05751E-08,0.077403158
1.05851E-08,0.077127211
1.05951E-08,0.07685224
1.06051E-08,0.076578259
1.06151E-08,0.076305248
1.06251E-08,0.076033212
1.06351E-08,0.075762153
1.06451E-08,0.075492047
1.06551E-08,0.075222917
1.06651E-08,0.074954741
1.06751E-08,0.074687518
1.06851E-08,0.074421249
1.06951E-08,0.074155934
1.07051E-08,0.073891558
1.07151E-08,0.073628128
1.07251E-08,0.073365636
1.07351E-08,0.073104084
1.07451E-08,0.072843462
1.07551E-08,0.072583765
1.07651E-08,0.072324999
1.07751E-08,0.072067156
1.07851E-08,0.071810231
1.07951E-08,0.071554221
1.08051E-08,0.071299121
1.08151E-08,0.071044937
1.08251E-08,0.070791654
1.08351E-08,0.070539273
1.08451E-08,0.070287794
1.08551E-08,0.070037216
1.08651E-08,0.069787525
1.08751E-08,0.069538727
1.08851E-08,0.069290809
1.08951E-08,0.069043785
1.09051E-08,0.068797641
1.09151E-08,0.068552367
1.09251E-08,0.068307973
1.09351E-08,0.068064451
1.09451E-08,0.067821793
1.09551E-08,0.06758
1.09651E-08,0.06733907
