Point,Corner,VINCM,temperature,c018hv32v.scs,c018hv32v.scs:1,c018hv32v.scs:2,c018hv32v.scs:3,c018hv32v.scs:4,c018hv32v.scs:5,c018hv32v.scs:6,c018hv32v.scs:7,c018hv32v.scs:8,c018hv32v.scs:9,c018hv32v.scs:10,c018hv32v.scs:11,c018hv32v.scs:12,c018hv32v.scs:13,Pass/Fail,ac_mag,ac_phase,acVal_Av,acVal_f3dB,acVal_Av0,acVal_Av1,acVal_Av2,dcVal_voutCM0,dcVal_voutCM1,dcVal_voutCM2,dcVal_voutCM3,dcVal_voutCM4,dcVal_voutCM
5,tt_MidT,900e-3,27,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,152,25.14e6,1.839,2.367,2.363,248.4e-3,685e-3,492.1e-3,641.8e-3,534.9e-3,619.1e-3
5,sf_HiT,900e-3,125,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,163.6,24.03e6,2.121,2.306,2.383,370.3e-3,720e-3,560.7e-3,675.4e-3,599.8e-3,654.2e-3
4,ff_MidT,800e-3,27,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,171.9,29.92e6,2.222,2.348,2.397,398.8e-3,582.7e-3,553.8e-3,562.5e-3,560.1e-3,560.8e-3
3,ss_MidT,700e-3,27,dio,dio_5,ss_bip_npn,ss_hvs_lg,ss_hvs,ss_5,ss_res,ss,ss_mim,ss_bip,ss_hva,ss_hvi_lg,ss_hvi,ss_hva_lg,pass,,,182.2,21.57e6,2.263,2.515,2.254,437.8e-3,704.2e-3,432.7e-3,707.6e-3,428.5e-3,710.3e-3
4,tt_MidT,800e-3,27,dio,dio_5,tt_bip_npn,tt_hvs_lg,tt_hvs,tt_5,tt_res,tt,tt_mim,tt_bip,tt_hva,tt_hvi_lg,tt_hvi,tt_hva_lg,pass,,,183.9,25.12e6,2.147,2.434,2.377,364.6e-3,674.8e-3,502.5e-3,636.9e-3,539.4e-3,616.3e-3
4,sf_HiT,800e-3,125,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,184.3,24e6,2.303,2.378,2.394,480.9e-3,703.4e-3,575.8e-3,667.9e-3,606e-3,650.4e-3
3,ff_MidT,700e-3,27,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,184.4,29.94e6,2.35,2.381,2.397,487.9e-3,574.6e-3,556.4e-3,561.8e-3,560.3e-3,560.7e-3
1,ff_MidT,500e-3,27,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,188.3,30.01e6,2.384,2.397,2.396,573e-3,557e-3,561.6e-3,560.4e-3,560.7e-3,560.6e-3
2,ff_MidT,600e-3,27,dio,dio_5,ff_bip_npn,ff_hvs_lg,ff_hvs,ff_5,ff_res,ff,ff_mim,ff_bip,ff_hva,ff_hvi_lg,ff_hvi,ff_hva_lg,pass,,,189,29.97e6,2.396,2.394,2.396,547.2e-3,564.1e-3,559.7e-3,560.9e-3,560.6e-3,560.7e-3
1,sf_HiT,500e-3,125,dio,dio_5,ss_bip_npn,sf_hvs_lg,sf_hvs,sf_5,ss_res,sf,ss_mim,ss_bip,sf_hva,sf_hvi_lg,sf_hvi,sf_hva_lg,pass,,,194.4,24.08e6,2.387,2.396,2.415,698.4e-3,580.2e-3,665.5e-3,607.9e-3,649.2e-3,620.5e-3
